추정가격,예정가격,입찰계약방법,낙찰율,낙찰금액
364741819,400313325,제한경쟁,88.245,353257000
233700000,254565525,제한경쟁,88.003,224025700
495602728,551734975,제한경쟁,88.407,487776700
469289090,515283700,제한경쟁,88.331,455160200
920599092,1001917275,제한경쟁,88.381,885509365
495717273,541268900,제한경쟁,88.396,478462000
357548809,392140550,제한경쟁,88.19,345829000
715750000,782012575,제한경쟁,88.128,689176000
142110000,153415050,제한경쟁,88.334,135517791
276494000,305360775,제한경쟁,88.26,269514380
212247273,233811750,제한경쟁,88.467,206846898
4113212728,4457751925,제한경쟁,87.5,3900557856
520574546,568344475,제한경쟁,88.553,503290122
249410000,273240625,제한경쟁,88.567,242002241
276770000,304029225,제한경쟁,90.155,274098000
78028182,85880850,제한경쟁,88.478,75985700
155000000,170291175,제한경쟁,88.323,150407770
653310909,716193275,제한경쟁,88.484,633720000
64417273,70571875,제한경쟁,88.145,62206000
227200000,247115950,제한경쟁,88.541,218800000
200576000,221897350,제한경쟁,88.99,197467072
316527272,348838975,제한경쟁,88.157,307529000
31084682,34458950,제한경쟁,88.332,30438372
283778182,311294500,제한경쟁,88.395,275171000
239865455,264778175,제한경쟁,88.483,234285320
126550000,138038850,제한경쟁,88.559,122246710
271640000,300392200,제한경쟁,88.449,265694640
231610000,255641725,제한경쟁,88.34,225835345
1217499091,1343568150,제한경쟁,87.539,1176154370
157059091,173713975,제한경쟁,88.759,154187510
528390000,582310125,제한경쟁,88.205,513629000
233950000,257229875,제한경쟁,88.449,227518800
427480000,465899625,제한경쟁,88.561,412607800
112709091,124571150,제한경쟁,88.356,110066650
342371819,380087025,제한경쟁,88.399,335995200
261279091,290338600,제한경쟁,88.409,256687380
218190000,240516675,제한경쟁,88.124,211954600
349280000,378063600,제한경쟁,88.65,335156387
92947273,101262300,제한경쟁,88.159,89272000
209000000,228864350,제한경쟁,88.402,202322200
118181819,130226850,제한경쟁,88.147,114791600
213049091,234567925,제한경쟁,88.504,207603428
683412000,758454950,제한경쟁,88.443,670803000
461401819,508437875,제한경쟁,88.437,449647750
441854545,489555325,제한경쟁,88.417,432852572
495540000,540989475,제한경쟁,88.732,480033000
198122728,216258575,제한경쟁,88.06,190438179
235854546,262190750,제한경쟁,88.564,232207260
257900000,284665950,제한경쟁,88.569,252126780
600626668,656077450,제한경쟁,88.475,580465622
18000000,19832900,제한경쟁,88.353,17523046
252030910,277824525,제한경쟁,88.6,246153147
211215455,231377525,제한경쟁,88.376,204483359
268812728,296523475,제한경쟁,88.418,262181260
1371772727,1501782550,제한경쟁,87.478,1313730000
765762000,839788050,제한경쟁,88.442,742730730
142300000,157228550,제한경쟁,88.233,138728060
439318182,481375025,제한경쟁,88.389,425483869
314930000,344168700,제한경쟁,88.389,304210121
244500000,268519050,제한경쟁,88.317,237150000
313575455,342743575,제한경쟁,88.144,302111000
211820000,235496350,제한경쟁,88.467,208336739
136800000,150380750,제한경쟁,88.112,132504758
204583636,225235000,제한경쟁,88.209,198677890
688581819,762444825,제한경쟁,88.185,672368000
362640000,403758725,제한경쟁,88.422,357014560
1657254545,1835093750,제한경쟁,87.362,1603191000
207400000,229385700,제한경쟁,88.246,202425700
484600000,529933650,제한경쟁,88.503,469008200
247149091,273741250,제한경쟁,88.503,242271630
222100000,242745850,제한경쟁,88.279,214295990
581147000,637628725,제한경쟁,88.478,564166000
235800000,261206725,제한경쟁,88.268,230563716
193127273,212044900,제한경쟁,88.504,187669680
358480000,396480100,제한경쟁,88.421,350574460
246336364,269978275,제한경쟁,88.378,238602890
167451818,182536500,제한경쟁,88.362,161294700
71581818,79858375,제한경쟁,88.338,70545800
243699091,268417525,제한경쟁,88.363,237183600
244002728,268868700,제한경쟁,88.457,237834000
979056363,1081644175,제한경쟁,88.429,956495000
202000000,222475025,제한경쟁,88.209,196244000
455300000,505733175,제한경쟁,88.209,446106503
299513637,330385075,제한경쟁,88.369,291958000
184500000,204878075,제한경쟁,88.162,180625500
5459980000,6051022875,제한경쟁,86.673,5244634780
354763636,387560100,제한경쟁,88.354,342426590
328641818,357360475,제한경쟁,88.494,316244000
771818182,842781100,제한경쟁,88.913,749343200
212966364,233103450,제한경쟁,88.207,205614980
268989091,298190075,제한경쟁,88.443,263730500
223812727,245869075,제한경쟁,88.26,217005740
311200000,338394500,제한경쟁,88.346,298958180
8537000000,9345413400,제한경쟁,86.453,8079420000
572651819,628285575,제한경쟁,87.519,549872890
424063169,468638150,제한경쟁,88.27,413668800
181054545,200707000,제한경쟁,88.713,178054600
231027273,253732350,제한경쟁,88.773,225248000
63060000,68985225,제한경쟁,88.446,61014822
216363637,237262850,제한경쟁,88.21,209291200
201453636,224251050,제한경쟁,88.493,198448050
466460000,512205525,제한경쟁,88.259,452071100
279880000,304185175,제한경쟁,90.201,274380700
483820910,535166075,제한경쟁,88.296,472530460
165402728,182973300,제한경쟁,88.017,161047820
2020450000,2202498125,제한경쟁,87.392,1924807573
544718182,600108275,제한경쟁,88.29,529837684
1170869091,1284208100,제한경쟁,87.4,1122408000
430005000,471553450,제한경쟁,88.196,415894109
1477592728,1607083100,제한경쟁,87.404,1404667780
310622728,347321125,제한경쟁,88.107,306017300
502238181,551481425,제한경쟁,88.514,488141600
194600000,214873450,제한경쟁,88.313,189761680
98249090,106702850,제한경쟁,88.268,94184600
474654546,521522225,제한경쟁,88.32,460611000
269228182,294471900,제한경쟁,88.272,259936500
448189091,493380275,제한경쟁,88.438,436338400
254818182,279521500,제한경쟁,88.563,247554444
106945455,118147950,제한경쟁,88.147,104143902
331390000,366406375,제한경쟁,88.42,323977340
109090909,119964600,제한경쟁,88.223,105837192
136363637,148908000,제한경쟁,88.416,131659500
35133636,38378275,제한경쟁,87.754,33678700
251200000,276375300,제한경쟁,88.227,243838700
216036363,236627100,제한경쟁,88.288,208915500
841310000,928582950,제한경쟁,88.306,819996000
11294759021,11694407275,제한경쟁,82.913,9696282000
176545455,193385375,제한경쟁,88.605,171350200
159581819,174574150,제한경쟁,88.345,154229000
1608363637,1762950350,제한경쟁,87.104,1535602000
916739091,1009666000,제한경쟁,88.471,893265400
412580000,444237100,제한경쟁,88.757,394292900
681700000,749502625,제한경쟁,88.668,664573000
169836364,187700425,제한경쟁,88.539,166188558
198181818,215701775,제한경쟁,88.441,190770400
399872727,443642875,제한경쟁,88.385,392115300
225141818,247194775,제한경쟁,88.421,218572755
278540000,307066600,제한경쟁,88.491,271727600
90130000,97497775,제한경쟁,87.922,85722050
1530970000,1682265125,제한경쟁,87.471,1471504063
474437273,518222650,제한경쟁,88.247,457318000
258181819,282101475,제한경쟁,88.365,249281600
1270830000,1394683900,제한경쟁,87.393,1218861000
430181819,470986675,제한경쟁,88.319,415973106
,456800000,제한경쟁,81.172,370794600
413853636,450933625,제한경쟁,88.357,398435346
2631960909,2944874125,제한경쟁,87.42,2574415240
935370000,1021197975,제한경쟁,88.327,901999300
290000000,317088450,제한경쟁,88.082,279297900
77272728,84468550,제한경쟁,88.302,74588000
1573200000,1732968750,제한경쟁,87.448,1515452000
295768182,324394225,제한경쟁,88.14,285923490
615471818,682250700,제한경쟁,88.265,602189700
205454546,225076250,제한경쟁,88.306,198756016
300370000,328735175,제한경쟁,93.47,307270000
1068758182,1166090850,제한경쟁,88.167,1028110000
758090910,831777775,제한경쟁,88.265,734176500
242049090,266954300,제한경쟁,88.356,235871450
588340000,643313700,제한경쟁,88.325,568212760
269680000,300446625,제한경쟁,88.426,265674126
311936364,346316875,제한경쟁,88.442,306290300
299000000,330112875,제한경쟁,88.036,290618867
112990000,124621800,제한경쟁,88.506,110298600
393200000,426232300,제한경쟁,88.409,376829421
397000000,436700050,제한경쟁,88.353,385837700
140300000,153605100,제한경쟁,88.5,135941190
401672728,444291125,제한경쟁,88.345,392510100
493263637,535261025,제한경쟁,88.36,472958000
83000000,91159225,제한경쟁,88.503,80678660
219010909,243256100,제한경쟁,88.497,215275338
422600000,463126100,제한경쟁,88.399,409399100
526496364,582926425,제한경쟁,88.591,516422448
201300000,219005375,제한경쟁,88.422,193650180
2405454546,2630090950,제한경쟁,87.452,2300071000
229607273,256390050,제한경쟁,88.231,226215510
243060000,264731850,제한경쟁,88.181,233444780
909340000,994084875,제한경쟁,88.419,878961720
20316000000,22667561800,제한경쟁,82.364,18669999900
361454546,398798800,제한경쟁,88.394,352516556
650172728,710080025,제한경쟁,88.367,627481000
243759090,270024725,제한경쟁,88.305,238447300
111400000,122601050,제한경쟁,88.64,108673750
206190000,227684525,제한경쟁,88.419,201317030
76390909,84511325,제한경쟁,88.381,74692000
169629000,184898175,제한경쟁,88.568,163762350
218580000,238702725,제한경쟁,88.496,211242820
76470909,83894725,제한경쟁,88.818,74513670
495464545,548067200,제한경쟁,88.465,484852710
609318000,664056950,제한경쟁,88.479,587557000
656210000,715727975,제한경쟁,88.244,631592000
341955372,380740950,제한경쟁,88.334,336326100
1291270000,1430666500,제한경쟁,87.177,1247223700
270363636,299312325,제한경쟁,88.287,264255000
226272726,249597600,제한경쟁,88.337,220488540
251909091,276388625,제한경쟁,88.235,243873290
236545454,259638650,제한경쟁,88.166,228913720
166454545,184374425,제한경쟁,88.358,162911180
237287273,260843750,제한경쟁,88.246,230186620
103960000,114328875,제한경쟁,88.447,101121359
164994000,182260775,제한경쟁,88.464,161236790
312918182,342736825,제한경쟁,88.295,302622830
542440000,592656425,제한경쟁,88.301,523324900
666710000,739992475,제한경쟁,88.398,654143999
320281818,351297150,제한경쟁,88.569,311142300
2092145455,2294162550,제한경쟁,87.401,2005122650
362727273,402488300,제한경쟁,88.593,356579800
114600000,125646900,제한경쟁,88.487,111181570
707736364,781118050,제한경쟁,88.547,691659900
549459091,601172975,제한경쟁,88.487,531963800
473072728,517186200,제한경쟁,88.208,456200770
35529091,39093675,제한경쟁,88.184,34474700
798187454,873908150,제한경쟁,88.443,772913320
939060000,1041898600,제한경쟁,88.43,921355960
269273637,293826250,제한경쟁,88.141,258981700
181818182,200123500,제한경쟁,88.122,176353660
262010000,287190775,제한경쟁,88.372,253798300
297663637,328215875,제한경쟁,88.419,290208000
633381819,692813200,제한경쟁,88.062,610109130
